day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
-1,0,EMERALDS,9992,14,9990,29,,,10008,14,10010,29,,,10000.0,0.0
-1,100,EMERALDS,9992,11,9990,22,,,10008,11,10010,22,,,10000.0,0.0
-1,200,EMERALDS,9992,15,9990,20,,,10008,15,10010,20,,,10000.0,0.0
-1,300,EMERALDS,9992,11,9990,29,,,10008,11,10010,29,,,10000.0,0.0
-1,400,EMERALDS,9992,12,9990,25,,,10008,12,10010,25,,,10000.0,0.0
-1,500,EMERALDS,9992,12,9990,30,,,10008,12,10010,30,,,10000.0,0.0
-1,600,EMERALDS,9992,11,9990,25,,,10008,11,10010,25,,,10000.0,0.0
-1,700,EMERALDS,9992,12,9990,23,,,10008,12,10010,23,,,10000.0,0.0
-1,800,EMERALDS,9992,15,9990,29,,,10008,15,10010,29,,,10000.0,0.0
-1,900,EMERALDS,9992,15,9990,22,,,10008,15,10010,22,,,10000.0,0.0
-1,1000,EMERALDS,9992,13,9990,26,,,10008,13,10010,26,,,10000.0,0.0
-1,1100,EMERALDS,9992,12,9990,24,,,10008,12,10010,24,,,10000.0,0.0
-1,1200,EMERALDS,9992,11,9990,21,,,10008,11,10010,21,,,10000.0,0.0
-1,1300,EMERALDS,9992,10,9990,30,,,10008,10,10010,30,,,10000.0,0.0
-1,1400,EMERALDS,9992,14,9990,25,,,10008,14,10010,25,,,10000.0,0.0
-1,1500,EMERALDS,9992,10,9990,27,,,10008,10,10010,27,,,10000.0,0.0
-1,1600,EMERALDS,9992,13,9990,29,,,10008,13,10010,29,,,10000.0,0.0
-1,1700,EMERALDS,9992,12,9990,20,,,10008,12,10010,20,,,10000.0,0.0
-1,1800,EMERALDS,9992,15,9990,22,,,10008,15,10010,22,,,10000.0,0.0
-1,1900,EMERALDS,9992,14,9990,28,,,10008,14,10010,28,,,10000.0,0.0
-1,2000,EMERALDS,9992,10,9990,24,,,10008,10,10010,24,,,10000.0,0.0
-1,2100,EMERALDS,9992,10,9990,25,,,10008,10,10010,25,,,10000.0,0.0
-1,2200,EMERALDS,9992,10,9990,24,,,10008,10,10010,24,,,10000.0,0.0
-1,2300,EMERALDS,9992,11,9990,30,,,10008,11,10010,30,,,10000.0,0.0
-1,2400,EMERALDS,9992,12,9990,29,,,10008,12,10010,29,,,10000.0,0.0
-1,2500,EMERALDS,9992,15,9990,22,,,10008,15,10010,22,,,10000.0,0.0
-1,2600,EMERALDS,9992,15,9990,23,,,10008,15,10010,23,,,10000.0,0.0
-1,2700,EMERALDS,9992,14,9990,26,,,10008,14,10010,26,,,10000.0,0.0
-1,2800,EMERALDS,9992,11,9990,25,,,10000,10,10008,11,10010.0,25.0,9996.0,0.0
-1,2900,EMERALDS,9992,15,9990,25,,,10008,15,10010,25,,,10000.0,0.0
-1,3000,EMERALDS,9992,15,9990,26,,,10008,15,10010,26,,,10000.0,0.0
-1,3100,EMERALDS,9992,12,9990,24,,,10008,12,10010,24,,,10000.0,0.0
-1,3200,EMERALDS,9992,12,9990,22,,,10008,12,10010,22,,,10000.0,0.0
-1,3300,EMERALDS,9992,13,9990,30,,,10008,13,10010,30,,,10000.0,0.0
-1,3400,EMERALDS,9992,10,9990,24,,,10008,10,10010,24,,,10000.0,0.0
-1,3500,EMERALDS,9992,15,9990,26,,,10008,15,10010,26,,,10000.0,0.0
-1,3600,EMERALDS,9992,10,9990,21,,,10008,10,10010,21,,,10000.0,0.0
-1,3700,EMERALDS,9992,10,9990,23,,,10008,10,10010,23,,,10000.0,0.0
-1,3800,EMERALDS,9992,11,9990,23,,,10008,11,10010,23,,,10000.0,0.0
-1,3900,EMERALDS,9992,14,9990,25,,,10008,14,10010,25,,,10000.0,0.0
-1,4000,EMERALDS,9992,15,9990,30,,,10008,15,10010,30,,,10000.0,0.0
