day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
-1,0,TOMATOES,4999,5,4998,15,,,5013,5,5014,15,,,5006.0,0.0
-1,100,TOMATOES,5000,8,4998,21,,,5013,8,5014,21,,,5006.5,0.0
-1,200,TOMATOES,5000,10,4999,20,,,5013,10,5015,20,,,5006.5,0.0
-1,300,TOMATOES,5000,9,4999,21,,,5014,9,5015,21,,,5007.0,0.0
-1,400,TOMATOES,5000,5,4999,20,,,5014,5,5015,20,,,5007.0,0.0
-1,500,TOMATOES,5000,6,4999,25,,,5014,6,5015,25,,,5007.0,0.0
-1,600,TOMATOES,5005,5,5000,8,4999.0,25.0,5014,8,5015,25,,,5009.5,0.0
-1,700,TOMATOES,5000,10,4999,18,,,5014,10,5015,18,,,5007.0,0.0
-1,800,TOMATOES,5000,8,4998,15,,,5013,8,5014,15,,,5006.5,0.0
-1,900,TOMATOES,5000,6,4998,23,,,5013,6,5015,23,,,5006.5,0.0
-1,1000,TOMATOES,5000,7,4999,22,,,5014,7,5015,22,,,5007.0,0.0
-1,1100,TOMATOES,5007,8,5000,5,4999.0,17.0,5013,5,5015,17,,,5010.0,0.0
-1,1200,TOMATOES,5000,6,4999,16,,,5014,6,5015,16,,,5007.0,0.0
-1,1300,TOMATOES,5001,9,5000,25,,,5014,9,5016,25,,,5007.5,0.0
-1,1400,TOMATOES,5000,9,4999,19,,,5014,9,5015,19,,,5007.0,0.0
-1,1500,TOMATOES,5008,8,5000,7,4999.0,21.0,5014,7,5015,21,,,5011.0,0.0
-1,1600,TOMATOES,5001,6,4999,19,,,5014,6,5015,19,,,5007.5,0.0
-1,1700,TOMATOES,5000,5,4999,15,,,5014,5,5015,15,,,5007.0,0.0
-1,1800,TOMATOES,5000,8,4998,17,,,5013,8,5014,17,,,5006.5,0.0
-1,1900,TOMATOES,5000,10,4999,20,,,5013,10,5015,20,,,5006.5,0.0
-1,2000,TOMATOES,4999,5,4998,18,,,5013,5,5014,18,,,5006.0,0.0
